company,consecutive_failures,last_status,last_run
10x Genomics,0,ok,2026-08-05
1Password,0,ok,2026-08-05
ABB,0,ok,2026-08-05
AIA New Zealand,0,ok,2026-08-05
ANZ,0,ok,2026-08-05
ANZ New Zealand,0,ok,2026-08-05
AQR Capital Management,0,ok,2026-08-05
ASML,0,ok,2026-08-05
AbCellera,0,ok,2026-08-05
AcademicPositions (Math & Stats),0,ok,2026-08-05
Acast,0,ok,2026-08-05
Accenture,0,ok,2026-08-05
Accenture New Zealand,0,ok,2026-08-05
Ada,0,ok,2026-08-05
Adyen,0,ok,2026-08-05
Affirm,0,ok,2026-08-05
AgResearch,0,ok,2026-08-05
Air Canada,0,ok,2026-08-05
Air France-KLM,6,failed,2026-08-05
Air New Zealand,0,ok,2026-08-05
Airbnb,0,ok,2026-08-05
Airbus,0,ok,2026-08-05
Airbus (Aviation & Flight Data Analytics),0,ok,2026-08-05
Airtable,0,ok,2026-08-05
Airwallex,0,ok,2026-08-05
Akuna Capital,0,ok,2026-08-05
Allianz,0,ok,2026-08-05
American Airlines,6,failed,2026-08-05
Amgen,0,ok,2026-08-05
Anthropic,0,ok,2026-08-05
ApplyBoard,0,ok,2026-08-05
Arianespace,0,ok,2026-08-05
AssemblyAI,0,ok,2026-08-05
Atlas Copco,0,ok,2026-08-05
Audi,0,ok,2026-08-05
BBVA,0,ok,2026-08-05
BCG Australia,6,failed,2026-08-05
BMO,0,ok,2026-08-05
BMW Group,0,ok,2026-08-05
BNP Paribas,0,ok,2026-08-05
BNZ (Bank of New Zealand),0,ok,2026-08-05
BP,0,ok,2026-08-05
BT Group,0,ok,2026-08-05
Back Market,0,ok,2026-08-05
Bain & Company,0,ok,2026-08-05
Benevity,0,ok,2026-08-05
Blablacar,0,ok,2026-08-05
Block (Afterpay),0,ok,2026-08-05
Boeing (Aviation Analytics & Aerospace),0,ok,2026-08-05
Booking.com,6,failed,2026-08-05
Boston Consulting Group,0,ok,2026-08-05
Brex,0,ok,2026-08-05
British Airways (IAG),0,ok,2026-08-05
CIBC,0,ok,2026-08-05
CSL,0,ok,2026-08-05
Cabify,0,ok,2026-08-05
Canal+,0,ok,2026-08-05
Canva,0,ok,2026-08-05
Capital One,0,ok,2026-08-05
Carrefour,4,failed,2026-07-29
Carsales,0,ok,2026-08-05
Check24,0,ok,2026-08-05
Chime,0,ok,2026-08-05
Clio,0,ok,2026-08-05
Cloudflare,0,ok,2026-08-05
Cochlear,0,ok,2026-08-05
Cohere,0,ok,2026-08-05
Coinbase,0,ok,2026-08-05
Coloplast,0,ok,2026-08-05
Commonwealth Bank,0,ok,2026-08-05
Coveo,0,ok,2026-08-05
Culture Amp,0,ok,2026-08-05
D. E. Shaw Group,0,ok,2026-08-05
D2L,0,ok,2026-08-05
DB Schenker (merged into DSV),0,ok,2026-08-05
DHL,0,ok,2026-08-05
Danske Bank,0,ok,2026-08-05
Darktrace,0,ok,2026-08-05
Databricks,0,ok,2026-08-05
Datadog,0,ok,2026-08-05
Delivery Hero,0,ok,2026-08-05
Deloitte Australia,0,ok,2026-08-05
Deloitte Canada,0,ok,2026-08-05
Deloitte New Zealand,0,ok,2026-08-05
Delta Air Lines,6,failed,2026-08-05
Depop,0,ok,2026-08-05
Deputy,0,ok,2026-08-05
Deutsche Bank,0,ok,2026-08-05
Deutsche Telekom,0,ok,2026-08-05
DoorDash,0,ok,2026-08-05
EDF,4,failed,2026-07-29
EQ Bank (Equitable Bank),0,ok,2026-08-05
EROAD,0,ok,2026-08-05
ESA,0,ok,2026-08-05
EURAXESS - Data Science,0,ok,2026-08-05
EasyJet,0,ok,2026-08-05
Elastic,0,ok,2026-08-05
ElevenLabs,0,ok,2026-08-05
Embark Studios,0,ok,2026-08-05
Emirates Group,0,ok,2026-08-05
Employment Hero,0,ok,2026-08-05
Envato,0,ok,2026-08-05
Ericsson,0,ok,2026-08-05
EuroClimateJobs,0,ok,2026-08-05
European Centre for Disease Prevention and Control (ECDC),0,ok,2026-08-05
European Mathematical Society,0,ok,2026-08-05
Exact,0,ok,2026-08-05
FIFA,6,failed,2026-08-05
Farfetch,0,ok,2026-08-05
Fastly,0,ok,2026-08-05
Figma,0,ok,2026-08-05
Finnair,0,ok,2026-08-05
Fisher & Paykel Healthcare,0,ok,2026-08-05
Flatiron Health,0,ok,2026-08-05
Flow Traders,0,ok,2026-08-05
Ford Motor Company,0,ok,2026-08-05
FreshBooks,0,ok,2026-08-05
Genentech,0,ok,2026-08-05
General Motors (GM),0,ok,2026-08-05
Genmab,0,ok,2026-08-05
Gentrack,0,ok,2026-08-05
Getaround,0,ok,2026-08-05
Getir,0,ok,2026-08-05
Gilead Sciences,0,ok,2026-08-05
Ginkgo Bioworks,0,ok,2026-08-05
GitLab,0,ok,2026-08-05
Glovo,0,ok,2026-08-05
Halter,0,ok,2026-08-05
Harvey AI,0,ok,2026-08-05
Honda,6,failed,2026-08-05
Hootsuite,0,ok,2026-08-05
Hudl (Sports Performance Analytics),0,ok,2026-08-05
Hudson River Trading,0,ok,2026-08-05
ING,0,ok,2026-08-05
IQVIA,0,ok,2026-08-05
ISGlobal (Barcelona Institute for Global Health),0,ok,2026-08-05
Iberdrola,0,ok,2026-08-05
Illumina,0,ok,2026-08-05
Intercom,0,ok,2026-08-05
Jane Street,0,ok,2026-08-05
Jobindex - Data Science,0,ok,2026-08-05
Jump Trading,0,ok,2026-08-05
Just Eat Takeaway,6,failed,2026-08-05
KOHO,0,ok,2026-08-05
KPMG Australia,0,ok,2026-08-05
KPMG New Zealand,0,ok,2026-08-05
KTH Royal Institute of Technology,6,failed,2026-08-05
Karolinska Institutet (KI),6,failed,2026-08-05
Kinaxis,0,ok,2026-08-05
King,11,failed,2026-08-05
L'Oréal,6,failed,2026-08-05
LIC (Livestock Improvement Corporation),0,ok,2026-08-05
LangChain,0,ok,2026-08-05
League,0,ok,2026-08-05
Lego,0,ok,2026-08-05
Lightning AI,0,ok,2026-08-05
Lightspeed Commerce,0,ok,2026-08-05
Linear,0,ok,2026-08-05
Linktree,0,ok,2026-08-05
LlamaIndex,0,ok,2026-08-05
Lovable,0,ok,2026-08-05
Lucid Motors,0,ok,2026-08-05
Lufthansa Group,6,failed,2026-08-05
Lund University,6,failed,2026-08-05
Lyft,0,ok,2026-08-05
MSF (Medecins Sans Frontieres),0,ok,2026-08-05
MSKCC (Epidemiology & Biostatistics),0,ok,2026-08-05
MYOB (NZ),0,ok,2026-08-05
Macquarie Group,0,ok,2026-08-05
Maersk,0,ok,2026-08-05
Magna International,0,ok,2026-08-05
Man Group,0,ok,2026-08-05
Manulife,0,ok,2026-08-05
McKinsey & Company,11,failed,2026-08-05
MediaMarkt,0,ok,2026-08-05
Mercedes-Benz Group,0,ok,2026-08-05
Millennium Management,6,failed,2026-08-05
Mistral AI,0,ok,2026-08-05
Modal,0,ok,2026-08-05
Moderna,0,ok,2026-08-05
MongoDB,0,ok,2026-08-05
Motive (Vehicle AI & Fleet Analytics),0,ok,2026-08-05
Munich Re,0,ok,2026-08-05
NAB,0,ok,2026-08-05
NCI DCEG (Division of Cancer Epidemiology & Genetics),0,ok,2026-08-05
Nature Careers - Data Science,0,ok,2026-08-05
Net-A-Porter,0,ok,2026-08-05
Netflix,0,ok,2026-08-05
Nine Entertainment,0,ok,2026-08-05
Nokia,6,failed,2026-08-05
Novartis,0,ok,2026-08-05
Novartis Ireland,0,ok,2026-08-05
Novo Nordisk,0,ok,2026-08-05
Nuvei,0,ok,2026-08-05
OECD,0,ok,2026-08-05
One NZ (Vodafone NZ),0,ok,2026-08-05
OpenAI,0,ok,2026-08-05
OpenText,0,ok,2026-08-05
Orange,0,ok,2026-08-05
Orsted,4,failed,2026-07-29
